Data-zigilua,Zein Gelako Aldratakoa zara?,LHn zein herritan ikasi duzu? ,LHn zein urtetan amaitu duzu? ,Zein eskolatan ikasi duzu,LHn zein eredutan hasi zinen ikasten?,Batxilergoan zein eredutan amaitu zenuen  ikasten?,"Eredua aldatu baduzu, noiz eta zergatik",Hizkuntzen ezagutza zertifikatua [Euskara],Hizkuntzen ezagutza zertifikatua [Gaztelania],Hizkuntzen ezagutza zertifikatua [Ingelesa],Hizkuntzen ezagutza zertifikatua [Beste],"Besteren bat markatu baduzu, zein eta zein mailatan",Hizkuntzak non erabiltzen dituzun [Euskara],Hizkuntzak non erabiltzen dituzun [Gaztelania],Hizkuntzak non erabiltzen dituzun [Ingelesa],Hizkuntzak non erabiltzen dituzun [Beste],Zertarako gai naizen [Euskara],Zertarako gai naizen [Gaztelania],Zertarako gai naizen [Ingelesa],Zertarako gai naizen [Beste],"Besteren bat markatu baduzu, zein hizkuntzatan zertarako zara gai?",Jakin beharreko besterik?
2018/01/30 9:25:31 AM CET,1 GA,Algorta,,Zubilleta,D,D,,B2,Ez dut,C1,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin;Lanean,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/01/30 9:25:39 AM CET,1 GA,Portugaleten,,Kanpazar ikastolan,D,D,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Ez dagokio,Ez dagokio,,
2018/01/30 9:25:39 AM CET,1 GA,Gernika,,San Fidel,D,D,,C1,Ez dut,B2,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Ikasketetan;Ikasketetako lagunekin;Lanean,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Ez dagokio,,
2018/01/30 9:26:59 AM CET,1 GA,Mungia,,Legarda,D,D,,B1,A2,B1,A1,,Familian;Herriko / auzoko lagunekin,Herriko / auzoko lagunekin;Ikasketetan,Ikasketetan,Ikasketetan,Irakurri;Idatzi;Aurkezpena egin,Irakurri;Idatzi;Aurkezpena egin,Irakurri;Idatzi,Irakurri,,
2018/01/30 9:27:15 AM CET,1 GA,Sondika,,Gorondagane,D,D,,B2,Ez dut,Ez dut,Ez dut,,Familian;Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri,Ez dagokio,,
2018/01/30 9:27:24 AM CET,2 GA,Algortan,,San Nikolas ikastola,D,D,,Ez dut,Ez dut,Ez dut,Ez dut,,Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Lanean,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Ez dagokio,,
2018/01/30 9:29:24 AM CET,2 GA,Laudio,,Lateorro eskola,D,D,,C1,Ez dut,C1,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan;Lanean,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/01/30 9:32:31 AM CET,2 GA,Loiun,,Lauro Ikastolan,D,D,,C1,Ez dut,C1,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Herriko / auzoko lagunekin,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/01/30 9:34:44 AM CET,1 GA,Gernika-Lumo,,Allende Salazar eskola publikoan,D,D,,C1,Ez dut,B2,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Ikasketetan,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/01/30 9:35:07 AM CET,2 GA,Lezaman,,Lezamako eskola publikoan,D,D,,C1,Ez dut,Ez dut,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri,Ez dagokio,,
2018/01/30 9:35:12 AM CET,2 GA,Bilbo,,Juan Delmás,D,D,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Irakurri,Latinean irakurtzeko,
2018/01/30 9:35:20 AM CET,1 GA,Barakaldon,,El Pilar ikastetxea,B,A,"Karrera hasterakoan, zeren eta Euskal Herrian lan egin baitut. Beraz, euskaraz egitea ezinbestekoa da. ",C1,Ez dut,Ez dut,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2018/01/30 9:35:36 AM CET,1 GA,Bilbon,,Deustuko Ikastola,D,hirueleduna,"Batxilergoan, ingelesa lantzeko",C1,Ez dut,B2,A1,Frantzesa,Familian;Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin;Lanean,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2018/01/30 9:35:47 AM CET,2 GA,Lezaman,,Lezamako eskolan,D,D,,C1,Ez dut,B2,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan;Ikasketetako lagunekin,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Eztabaidatu,Ez dagokio,,
2018/01/30 9:35:48 AM CET,2 GA,Bilbon,,Karmelo Ikastola,D,D,Beti egon naiz D ereduan,B2;C1,Ez dut,Ez dut,Ez dut,,Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2018/01/30 9:35:57 AM CET,2 GA,Leioan,,Askartza,D,D,,Ez dut,Ez dut,Ez dut,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2018/01/30 9:35:57 AM CET,1 GA,Leioan,,Txomin Arestin,"1. mailatik 5. mailara, B ereduan. 6. mailatik aurrera, D ereduan",D,Lehen Hezkuntzan. Ondo aritzen nintzelako euskaraz,Ez dut,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ikasketetan,Familian,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Ez dagokio,Frantsesa,Pedagogia Musikala ikasi dut 
2018/01/30 9:36:23 AM CET,2 GA,Sopelan,,Zipiriñe,D,D,,B2,Ez dut,B2,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/01/30 9:36:56 AM CET,2 GA,Bilbon,,Sagrado Corazon Ikastetxea,B,D,Euskaraz ikasten nahiago nuelako,B2,Ez dut,B1,Ez dut,,Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2018/01/30 9:37:34 AM CET,2 GA,Basauri,,Basozelai Gaztelu,D,D,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin;Lanean,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,EHUko korreo ofiziala ez dut erabiltzen
2018/01/30 9:38:01 AM CET,2 GA,Lezama,,CEIP Lezama HLHI,D,D,,C1,Ez dut,A2,Ez dut,Valentziarra,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ikasketetan,Familian,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri,Irakurri,Valentziarrez,
2018/01/30 9:38:14 AM CET,1 GA,Bilbon,,Deustuko Ikastola,D,D,"Batxilergo lehenengo maila Estatu Batuetan egin nuen, beraz, dena ingelesez.",C1,Ez dut,C1,Ez dut,,Familian;Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin;Lanean,Ikasketetan;Lanean,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/01/30 9:38:31 AM CET,2 GA,Bilbon,,Berrio-otxoan,B,D,Batxelergoan aldatu  nintzen D eredura euskera hobetzeko eta gradua euskaraz ikasi nahi nuelako. ,B2,Ez dut,A2,Ez dut,,Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu;Ez dagokio,Irakurri;Idatzi,Ez dagokio,,
2018/01/30 9:38:47 AM CET,1 GA,Loiun,,Lauro Ikastolan,D,D,,C1,Ez dut,C1,Ez dut,,Familian;Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin,Lanean,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2018/01/30 9:39:41 AM CET,2 GA,Bilbon,,Luis Briñas Ikastetxean,D,D,Ez dut aldatu,B1;B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Lanean,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,Ez dagokio,,
2018/01/30 9:39:49 AM CET,2 GA,Leioan,,Betiko Ikastolan,D,D,,C1,Ez dut,B2,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin,Ikasketetako lagunekin,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2018/01/30 9:39:52 AM CET,1 GA,Getxon,,Santísima Trinidad-en,B,A,Batxilergoa amaitu ondoren Biologia gazteleraz hasi nintzen. Ez zitzaidan gustatu eta Magisteritza euskaraz egitea erabaki nuen Euskadin lan egiteko eta bizitzeko ezinbestekoa delako.,B2,Ez dut,B2,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin;Lanean,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,
2018/01/30 9:40:04 AM CET,1 GA,Bilbo,,Deustuko Ikastola,D,D,,B2,B1;Ez dut,B2,Ez dut,,Familian;Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Eztabaidatu,Ez dagokio,,
2018/01/30 9:40:21 AM CET,1 GA,Zestoan,,Zestoako Herri Ikastetxea,D,D,,C1,Ez dut,B1,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2018/01/30 9:40:23 AM CET,1 GA,Loiun,,Lauro Ikastola,D,D,,C1,Ez dut,C1,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Lanean,Ikasketetako lagunekin,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin,Ez dagokio,,
2018/01/30 9:40:37 AM CET,2 GA,Iralan (Bilbo),,Isabel Gallego Gorria eskolan. ,D,D,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Lanean,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri,Ez dagokio,,
2018/01/30 9:40:37 AM CET,2 GA,Basauri,,Arizko Ikastola,D,D,EZ,B2,Ez dut,B2,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin,Ikasketetan;Lanean,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Ez dagokio,,
2018/01/30 9:40:48 AM CET,2 GA,San Miguel de Basauri,,Sofia Taramona,D,D,,B1,Ez dut,Ez dut,Ez dut,,Familian;Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ikasketetako lagunekin;Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri,Ez dagokio,,
2018/01/30 9:40:51 AM CET,1 GA,Gorliz,,Gorlizko Ikastetxea,D,D,,Ez dut,Ez dut,C1,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Eztabaidatu,Ez dagokio,,
2018/01/30 9:41:14 AM CET,2 GA,Elizondo,,Baztan Ikastola,D,D,,C1,Ez dut,B2,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Lanean,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Ez dagokio,,
2018/01/30 9:41:21 AM CET,2 GA,Getxo,,San Nikolas ikastolan,D,D,,C1,C1,Ez dut,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Idatzi,Ez dagokio,,
2018/01/30 9:41:22 AM CET,1 GA,Santurtzin,,Bihotz Gaztea Ikastola,D,D,,Ez dut,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu,Irakurri,Frantsesean,
2018/01/30 9:41:47 AM CET,1 GA,Mungia,,Legarda,D,D,,C1,Ez dut,B1,Ez dut,,Familian;Herriko / auzoko lagunekin;Lanean,Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi,Ez dagokio,,"Lehen ez ditut aukera guztiak ikusi, beraz berriro bidaltzen dizut."
2018/01/30 9:41:56 AM CET,2 GA,San Ignazion,,Intxixu ikastola,D,D,,C1,Ez dut,Ez dut,Ez dut,,Familian;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Lanean,Ikasketetan;Ikasketetako lagunekin,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri,Ez dagokio,,
2018/01/30 9:42:34 AM CET,1 GA,Portugalete,,Asti-Leku ikastola,D,D,,Ez dut,Ez dut,B2,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/01/30 9:42:44 AM CET,1 GA,Portugalete,,Asti-Leku ikastola,D,D,,C1,Ez dut,C1,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin;Lanean,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/01/30 9:43:42 AM CET,2 GA,Zallan,,Maristas San Miguel Ikastetxean,D,D,,B2,Ez dut,B2,Ez dut,,Ikasketetan;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/01/30 9:43:50 AM CET,1 GA,Barakaldon,,Alkartu Ikastolan,D,D,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/01/30 9:44:28 AM CET,1 GA,Durangon,,Fray Juan Zumarraga institutuan,D,D,,B2,Ez dut,B2,B1,Frantsesa,Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/01/30 9:44:31 AM CET,1 GA,"Bilbao, Indautxu",,"Nuestra Señora de Begoña, Jesuitas. ",B,A,"Batxilergoko azkenengo urtean aldatu nuen eraduz selektibitateari begira, fisioterapiako gradua ikasi nahi nuelako eta eskakizun nota oso altua zen. ",Ez dut,Ez dut,Ez dut,Ez dut,,Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin;Lanean,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/01/30 9:44:37 AM CET,1 GA,Durango,,San Jose Jesuitak,D,D,,B2,Ez dut,C1,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin,Ikasketetan;Ikasketetako lagunekin,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/01/30 9:47:50 AM CET,2 GA,Gernika-Lumo,,Allende Salazar,D,D,,C1,B2,B1,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Herriko / auzoko lagunekin;Ikasketetako lagunekin,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/01/30 9:48:04 AM CET,2 GA,Lezaman,,Lezamako eskola publikoan,D,D,,C1,Ez dut,Ez dut,Ez dut,,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetan;Ikasketetako lagunekin;Lanean,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri,Ez dagokio,,
2018/01/30 9:48:49 AM CET,2 GA,Bilbon,,Karitate Alabak Begoñako Andra Mari/El Salvador Maristas (Batxilergoa),B,D,Batxilergoa egiteko A edo D aukera zeudelako eta euskaraz ikasten jarraitu nahi nuelako. ,C1,Ez dut,C1,Ez dut,,Ikasketetan;Ikasketetako lagunekin,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin;Lanean,Ikasketetan,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Ez dagokio,,
2018/01/30 9:58:46 AM CET,2 GA,Bilbo,,Urretxindorra Ikastola,D,D,,B2,Ez dut,Ez dut,Ez dut,,Ikasketetan;Ikasketetako lagunekin;Lanean,Familian;Herriko / auzoko lagunekin;Ikasketetako lagunekin;Lanean,Ez dut erabiltzen,Ez dut erabiltzen,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Aurkezpena egin;Eztabaidatu;Negoziatu,Irakurri;Idatzi;Eztabaidatu,Ez dagokio,,
