"","Herria","Lema","Erantzuna","Erantzuna..fon.","galdera"
"322","Baigorri","haur hobengabea","haurr hobengabea","hau̯r̄ hoβeŋgaβea","2482"
"323","Bakio","amasoltera","amasoltéra","amaśoltéra","2482"
"324","Beasain","solteratan izandakoa","sólteratan izándakoá","śólteratan isándakoá","2482"
"325","Beasain","neskatan famili izandako neskea","neskátan fámilizándako neskéa","neśkátan fámili:sándako neśkéa","2482"
"326","Beizama","familiya izanduba","fámiliyaizandubá","fámiliǰai̯sanduβá:","2482"
"327","Beizama","familiya izendakua","fámiliyaizendakuá","fámiliǰai̯sɛndakwá","2482"
"328","Bergara","famelixa ixendako soltera","famélixa ixéndako soltéra","faméliʃa iʃéndako śoltéra","2482"
"329","Bermeo","amasoltera","amasoltéra","amaśoltéra","2482"
"330","Berriz","bandera","bandéra","bandéra","2482"
"331","Beruete","neska","neská","neśká","2482"
"332","Beskoitze","bazko egin du erramu aitzin","bázko egin dú errámu aitzín","básko eɣin dú er̄ámu ai̯tsín","2482"
"333","Bolibar","neskaumedun","neskaumédun","neśkau̯méðun","2482"
"334","Busturia","amaeskondubako","amaeskondúbako","amaeśkondúβako","2482"
"335","Deba","eskondu gabeko ama","eskóndu gabéko ámá","eśkóndu ɣaβéko ámá","2482"
"336","Domintxaine","haurra in","háurra in","háu̯r̄a in","2482"
"337","Donamaria","solteetan eina","soltéetan éiña","śoltéetan éi̯ɲa","2482"
"338","Donamaria","aurrina","aurríñAE","au̯r̄íɲạ","2482"
"339","Donamaria","gaztetan eina dik orrek unelako aurra","gaztétan eíña dik orrék unélako áurra","gastétan eíɲa ðik or̄ék unélako áu̯r̄a","2482"
"340","Donostia","solteratan izandu","solteratan izandu","śolteratan isandu","2482"
"341","Dorrao / Torrano","amasoltera","ámasoltéra","ámaśɔltéra","2482"
"342","Elantxobe","soltera","soltéra","śoltéra","2482"
"343","Elduain","solteratan famili izandua","sólteratan fámilizándua","śólteratan fámili:sándua","2482"
"344","Elgoibar","neskatan isendakuak","neskátan isendakuak","neśkátan iśendakuak","2482"
"345","Elorrio","soltera","soltéra","śoltéra","2482"
"346","Errezil","amasoltera","amásoltéra","amáśɔltéra","2482"
"347","Etxalar","neska aurdunduna","neská aurrdúnduná","neśká au̯r̄ðúnduná","2482"
"348","Etxalar","umia izandua","umíaizándua","umíai̯sándua","2482"
"349","Etxarri (Larraun)","aurre endako neska","áurre éndako neská","áu̯r̄e éndako neśká","2482"
"350","Etxebarri","amasoltera","amásoltera","amáśoltera","2482"
"351","Ezkio-Itsaso","gaztetan familie izandakoa","gaztétan fámilieizándakoá","gastétaɱ fámiljei̯sándakoá:","2482"
"352","Ezkurra","neskaandre","néskaandrré","néśkaandr̄é","2482"
"353","Ezterenzubi","nexkahaurrin","néxkahaurrín","néʃkahau̯r̄ín","2482"
"354","Gaintza","soltera","solterá","śɔlterá","2482"
"355","Gamarte","haurrin","haurrín","hau̯r̄ín","2482"
"356","Gamiz-Fika","amasoltera","amásoltérá","amáśoltérá","2482"
"357","Gamiz-Fika","yasone","yasóne","ǰaśóne","2482"
"358","Getaria","solteretan familiya isandakua","sólteretan fámiliyaisándakuá","śólteretaɱ fámiliǰai̯śándakuá","2482"
"359","Getaria","neskatan familiya isandakua","neskátan fámiliyaisándakuá","neśkátaɱ fámiliǰai̯śándakuá","2482"
"360","Getxo","solteratan famili eukiko","soltératan famílieukíko","śoltératan famílieu̯kíko","2482"
"361","Gizaburuaga","soltera","soltéra","śoltéra","2482"
"362","Goizueta","solteratan izan dik","soltératan izán dik","śoltératan isán dik","2482"
"363","Goizueta","gaztetan izan dik","gaztétan izán dik","gastétan isán dik","2482"
"364","Hazparne","zantzail","zántzail","sántsai̯l","2482"
"365","Hendaia","neska aurrinak","neská áurriñak","neśká áu̯Riɲak","2482"
"366","Hondarribia","amazoltera","amazoltéra","amasoltéra","2482"
"367","Ibarruri (Muxika)","solteratako","solteratáko","śolteratáko","2482"
