"","Herria","Lema","Erantzuna","Erantzuna..fon.","galdera"
"3416","Uharte Garazi","xaar","xaárr","ʃaár̄","2495"
"3417","Uharte Garazi","atso","átso","átśo","2495"
"3418","Urdiain","andrazar","ándrrazarrá","ándr̄asar̄á","2495"
"3419","Urdiñarbe","emaztexahar","emaztexahár","emasteʃahár","2495"
"3420","Urketa","emaztexahar","emáztexahárr","emásteʃahár̄","2495"
"3421","Urketa","zahar","zahárr","sahár̄","2495"
"3422","Urretxu","emakumazar","emákumazárr","emákumasá:r̄","2495"
"3423","Urretxu","atso","atsó","atśó","2495"
"3424","Urretxu","andrazar","andrrázárr","andr̄ásár̄","2495"
"3425","Uztaritze","emaztexaar","emáztexáarr","emásteʃáar̄","2495"
"3426","Uztaritze","atso","átso","átśo","2495"
"3427","Zaratamo","andrasar","andrásár","andráśár","2495"
"3428","Zaratamo","atzosar","atzósár","atsóśár","2495"
"3429","Zeanuri","atzo","átzo","átso","2495"
"3430","Zeberio","atzo","átzo","átso","2495"
"3431","Zeberio","andrasar","andrrásarr","andr̄áśar̄","2495"
"3432","Zegama","andrazar","andrrazárr","andr̄asá:r̄","2495"
"3433","Zegama","atso","atsó","atśó","2495"
"3434","Zilbeti","maztekizar","maztékizárra","mastékisár̄a","2495"
"3435","Zollo (Arrankudiaga)","sar","sárr","śár̄","2495"
"3436","Zollo (Arrankudiaga)","atzo","átzo","átso","2495"
"3437","Zornotza","sar","sárr","śár̄","2495"
"3438","Zornotza","atzo","átzo","átso","2495"
"3439","Zugarramurdi","andrexaar","andrréxaárr","andr̄éʃaár̄","2495"
"3440","Abaurregaina  / Abaurrea Alta","anea","anéa","anéa","2496"
"3441","Ahetze","anai","anái","anái̯","2496"
"3442","Aia","anai","anái","anái̯","2496"
"3443","Aldude","anaia","anáia","anái̯a","2496"
"3444","Alkotz","anaye","anáye","anáǰe","2496"
"3445","Altzai","anaie","anáie","anáje","2496"
"3446","Altzürükü","anaie","anáie","anáje","2496"
"3447","Amezketa","anai","anái","anái̯","2496"
"3448","Andoain","anai","anái","anái̯","2496"
"3449","Aniz","anai","ánai","ánai̯","2496"
"3450","Aramaio","anai","ánai","ánai̯","2496"
"3451","Araotz (Oñati)","anae","anáe","anáe","2496"
"3452","Arbizu","anei","anéi","anéi̯","2496"
"3453","Arboti","anaia","anáia","anája","2496"
"3454","Armendaritze","anaia","anáia","anái̯a","2496"
"3455","Arnegi","anaia","anáia","anái̯a","2496"
"3456","Arrangoitze","anaia","ánaia","ánai̯a","2496"
"3457","Arrasate","anai","ánai","ánai̯","2496"
"3458","Arrazola (Atxondo)","anai!a","anái¡a","anái̯ʒa","2496"
"3459","Arrieta","anai!e","anái¡é","anái̯ʒé","2496"
"3460","Arroa (Zestoa)","anai","anái","anái̯","2496"
"3461","Arrueta","aneia","anéia","anéja","2496"
"3462","Asteasu","anai","anái","anái̯","2496"
"3463","Ataun","anai","anái","anái̯","2496"
"3464","Azkaine","anaya","anáya","anáǰa","2496"
"3465","Azkoitia","anai","anái","anái̯","2496"
"3466","Azpeitia","anai","anái","anái̯","2496"
"3467","Baigorri","anai","anai","anai̯","2496"
"3468","Bakio","anai!e","anái¡e","anái̯ʒe","2496"
"3469","Bardoze","anea","ánea","ánea","2496"
"3470","Barkoxe","anaie","anáie","anáje","2496"
"3471","Bastida","anea","anéa","anéa","2496"
"3472","Beasain","anai","anái","anái̯","2496"
"3473","Behorlegi","anaya","anayá","anaǰá","2496"
"3474","Beizama","anai","anái","anái̯","2496"
"3475","Bergara","anae","anáe","anáe","2496"
"3476","Bermeo","anai!e","anái¡e","anái̯ʒe","2496"
"3477","Berriz","anai!a","anái¡a","anái̯ʒa","2496"
"3478","Beruete","anai","anái","anái̯","2496"
"3479","Beskoitze","anea","anéa","anéa","2496"
"3480","Bidarrai","aneia","anéia","anéi̯a","2496"
"3481","Bolibar","anaixe","anáixe","anái̯ʃe","2496"
"3482","Busturia","anai!e","anái¡e","anái̯ʒe","2496"
"3483","Deba","anai","anái","anái̯","2496"
"3484","Dima","anai","anái","anái̯","2496"
"3485","Domintxaine","anaia","anáia","anája","2496"
"3486","Donamaria","anai","anái","anái̯","2496"
"3487","Donibane Lohizune","anaia","anaiá","anai̯á","2496"
"3488","Donostia","anai","anái","anái̯","2496"
"3489","Dorrao / Torrano","anei","anéi","anéi̯","2496"
"3490","Eibar","anai","ánai","ánai̯","2496"
"3491","Elantxobe","anaia","anáia","anái̯a","2496"
"3492","Elantxobe","anai!a","anái¡a","anái̯ʒa","2496"
"3493","Elduain","anai","anái","anái̯","2496"
"3494","Elgoibar","anai","anái","anái̯","2496"
"3495","Elorrio","anai","ánai","ánai̯","2496"
"3496","Erratzu","anaie","ánaie","ánai̯e","2496"
"3497","Errezil","anai","anái","anái̯","2496"
"3498","Errigoiti","anai!e","anái¡e","anái̯ʒe","2496"
"3499","Eskiula","anaie","anáie","anáje","2496"
"3500","Etxalar","anai","anái","anái̯","2496"
"3501","Etxaleku","anai","anái","anái̯","2496"
"3502","Etxarri (Larraun)","anai","anái","anái̯","2496"
"3503","Etxebarri","anaje","anáje","anáxe","2496"
"3504","Etxebarria","anai","anái","anái̯","2496"
"3505","Eugi","anai","anái","anái̯","2496"
"3506","Ezkio-Itsaso","anai","anái","anái̯","2496"
"3507","Ezkurra","anai","anái","anái̯","2496"
"3508","Ezterenzubi","anaia","anáia","anája","2496"
"3509","Gaintza","anae","anaé","anaé","2496"
"3510","Gamarte","anaia","anaiá","anai̯á","2496"
"3511","Gamiz-Fika","anaie","ana¡é","anaʒé","2496"
"3512","Garrüze","aneia","aneiá","anei̯á","2496"
"3513","Getaria","anai","anái","anái̯","2496"
"3514","Getxo","anaye","anáye","anáǰe","2496"
"3515","Gizaburuaga","anai!e","anái¡e","anái̯ʒe","2496"
"3516","Goizueta","anai","anái","anái̯","2496"
"3517","Hazparne","anea","anéa","anéa","2496"
"3518","Hendaia","anaiy","anáiy","anái̯ǰ","2496"
"3519","Hernani","anai","anaí","anaí","2496"
"3520","Hondarribia","anai","anái","anái̯","2496"
"3521","Ibarruri (Muxika)","anai!e","anái¡e","anái̯ʒe","2496"
"3522","Igoa","anai","anái","anái̯","2496"
"3523","Ikaztegieta","anai","anái","anái̯","2496"
"3524","Irisarri","anei","ánei","ánɛi̯","2496"
"3525","Itsasu","anaia","anáia","anái̯a","2496"
"3526","Izturitze","anea","anéa","anéa","2496"
"3527","Jaurrieta","anae","anáe","anáe","2496"
"3528","Jutsi","aneia","anéia","anéja","2496"
"3529","Kortezubi","anai!e","anái¡e","anái̯ʒe","2496"
"3530","Landibarre","aneia","aneiá","anei̯á","2496"
"3531","Larrabetzu","anai","ánai","ánai̯","2496"
"3532","Larraine","anaie","anáie","anáje","2496"
"3533","Larzabale","anaia","anáia","anája","2496"
"3534","Lasarte-Oria","anai","anái","anái̯","2496"
"3535","Laukiz","anaje","anajé","anaxé","2496"
"3536","Laukiz","anaye","anáye","anáǰe","2496"
"3537","Legazpi","anai","anai","anai̯","2496"
"3538","Leintz Gatzaga","anai","ánai","ánai̯","2496"
"3539","Leioa","anaje","anaje","anaxe","2496"
"3540","Leitza","anai","anái","anái̯","2496"
"3541","Lekaroz","anai","anai","anai̯","2496"
"3542","Lekeitio","anai!e","anái¡e","anái̯ʒe","2496"
"3543","Lemoa","anai","ánai","ánai̯","2496"
"3544","Lemoiz","anaje","anajé","anaxé","2496"
"3545","Luzaide / Valcarlos","anaia","anáia","anái̯a","2496"
"3546","Makea","anaia","ánaiá","ánai̯á","2496"
"3547","Mañaria","anai","anái","anái̯","2496"
"3548","Mendaro","anaixa","anáixá","anái̯ʃá","2496"
"3549","Mendaro","anai","anái","anái̯","2496"
"3550","Mendata","anai!a","anái¡a","anái̯ʒa","2496"
"3551","Mezkiritz","anaya","anáya","anáǰa","2496"
"3552","Montori","anaie","anáie","anáje","2496"
"3553","Mugerre","ania","anía","anía","2496"
"3554","Mungia","anaie","anáie","anái̯e","2496"
"3555","Oderitz","anai","anái","anái̯","2496"
"3556","Oiartzun","anai","anái","anái̯","2496"
"3557","Oñati","anae","anáe","anáe","2496"
"3558","Ondarroa","anaixa","anáixa","anái̯ʃa","2496"
"3559","Orexa","anai","anái","anái̯","2496"
"3560","Orio","anai","anái","anái̯","2496"
"3561","Orozko","anai","ánai","ánai̯","2496"
"3562","Otxandio","anaia","ánaia","ánai̯a","2496"
"3563","Pagola","anaia","anáia","anája","2496"
"3564","Pagola","anai","anái","anái̯","2496"
"3565","Pasaia","anai","ánái","ánái̯","2496"
"3566","Santa Grazi","anae","anae","anae","2496"
"3567","Sara","anaia","anáia","anái̯a","2496"
"3568","Senpere","anai","anaí","anaí","2496"
"3569","Sohüta","aneia","anéia","anéja","2496"
"3570","Sohüta","anaie","anáie","anáje","2496"
"3571","Sondika","anaje","anajé","anaxé","2496"
"3572","Suarbe","anai","ánai","ánai̯","2496"
"3573","Sunbilla","anaya","anáya","anáǰa","2496"
"3574","Tolosa","anai","anái","anái̯","2496"
"3575","Uharte Garazi","anai","anái","anái̯","2496"
"3576","Urdiain","anaya","anayá","anaǰá","2496"
"3577","Urdiñarbe","aneie","anéie","anéje","2496"
"3578","Urketa","anaia","anáia","anája","2496"
"3579","Urketa","aneia","aneiá","anejá","2496"
"3580","Urretxu","anai","ánai","ánai̯","2496"
"3581","Ürrüstoi","anaie","anaie","anaje","2496"
"3582","Uztaritze","anaia","anáia","anái̯a","2496"
"3583","Zaratamo","anai!e","anái¡e","anái̯ʒe","2496"
"3584","Zeanuri","anaya","ánaya","ánaǰa","2496"
"3585","Zeberio","anaje","anáje","anáxe","2496"
"3586","Zegama","anai","anái","anái̯","2496"
"3587","Zilbeti","anai","anái","anái̯","2496"
"3588","Zollo (Arrankudiaga)","anaje","anáje","anáxe","2496"
"3589","Zornotza","anai!a","anái¡a","anái̯ʒa","2496"
"3590","Zugarramurdi","anai","anái","anái̯","2496"
"3591","Ahetze","arreba","arréba","ar̄éβa","2497"
"3592","Aia","arreba","arréba","ar̄ɛ́βa","2497"
"3593","Aldude","arreba","arréba","ar̄éβa","2497"
"3594","Alkotz","arreba","arréba","ar̄éβa","2497"
"3595","Altzai","arreba","arreba","ar̄eβa","2497"
"3596","Altzürükü","arreba","arréba","ar̄éβa","2497"
"3597","Amezketa","arreba","árrebá","ár̄ɛβá","2497"
"3598","Andoain","arreba","árrébá","ár̄ɛ́βá","2497"
"3599","Aniz","arreba","arrebá","ar̄eβá","2497"
"3600","Aramaio","arreba","árreba","ár̄eβa","2497"
"3601","Araotz (Oñati)","arreba","arréba","ar̄éβa","2497"
"3602","Arbizu","arreba","arrebá","ar̄eβá","2497"
"3603","Arboti","arreba","arréba","ar̄éβa","2497"
"3604","Armendaritze","arreba","arréba","ar̄éβa","2497"
"3605","Arnegi","arreba","árreba","ár̄eβa","2497"
"3606","Arrangoitze","arreba","arréba","ar̄éβa","2497"
"3607","Arrasate","arreba","arréba","ar̄éβa","2497"
"3608","Arrazola (Atxondo)","arreba","arréba","ar̄éβa","2497"
"3609","Arrieta","arraba","arrabá","ar̄aβá","2497"
"3610","Arroa (Zestoa)","arreba","arréba","ar̄ɛ́βa","2497"
"3611","Arrueta","arreba","arréba","ar̄éβa","2497"
"3612","Asteasu","arreba","arrébá","ar̄ɛ́βá","2497"
"3613","Ataun","arreba","arrebá","ar̄ɛβá","2497"
"3614","Azkaine","arreba","arréba","ar̄éβa","2497"
"3615","Azkoitia","arreba","arréba","ar̄ɛ́βa","2497"
"3616","Azpeitia","arreba","arréba","ar̄ɛ́βa","2497"
"3617","Baigorri","arreba","arreba","ar̄eβa","2497"
"3618","Bakio","arraba","arrába","ar̄áβa","2497"
"3619","Bardoze","arreba","árrebá","ár̄eβá","2497"
"3620","Barkoxe","arreba","arréba","ar̄éβa","2497"
"3621","Bastida","arreba","arreba","ar̄eβa","2497"
"3622","Beasain","arreba","arréba","ar̄éβa","2497"
"3623","Behorlegi","arreba","arrebá","ar̄eβá","2497"
"3624","Beizama","arreba","arrébá","ar̄ɛ́βá","2497"
"3625","Bergara","arreba","arréba","ar̄éβa","2497"
"3626","Bermeo","arreba","arrebá","ar̄eβá","2497"
"3627","Berriz","arreba","arréba","ar̄éβa","2497"
"3628","Beruete","arreba","arrebá","ar̄ɛβá","2497"
"3629","Beskoitze","arreba","arréba","ar̄éβa","2497"
"3630","Bidarrai","arreba","arréba","ar̄éβa","2497"
"3631","Bolibar","arreba","arréba","ar̄éβa","2497"
"3632","Busturia","arreba","arréba","ar̄éβa","2497"
"3633","Deba","arreba","arréba","ar̄ɛ́βa","2497"
"3634","Dima","arraba","arrába","ar̄áβa","2497"
"3635","Domintxaine","arreba","arréba","ar̄éβa","2497"
"3636","Donamaria","arreba","arréba","ar̄éβa","2497"
"3637","Donibane Lohizune","arreba","arréba","aRéβa","2497"
"3638","Donostia","arreba","arréba","ar̄éβa","2497"
"3639","Dorrao / Torrano","arreba","arréba","ar̄ɛ́βa","2497"
"3640","Eibar","arreba","arréba","ar̄éβa","2497"
"3641","Elantxobe","arreba","arréba","ar̄éβa","2497"
"3642","Elduain","arreba","arrébá","ar̄ɛ́βá","2497"
"3643","Elgoibar","arreba","arréba","ar̄ɛ́βa","2497"
"3644","Elorrio","arreba","arréba","ar̄éβa","2497"
"3645","Erratzu","arreba","arrebá","ar̄eβá","2497"
"3646","Errezil","arreba","arrebá","ar̄ɛβá","2497"
"3647","Errigoiti","arreba","arréba","ar̄éβa","2497"
"3648","Eskiula","arreba","arrebá","ar̄eβá","2497"
"3649","Etxalar","arreba","arréba","ar̄éβa","2497"
"3650","Etxaleku","arreba","arrebá","ar̄eβá","2497"
"3651","Etxarri (Larraun)","arreba","árrebá","ár̄eβá","2497"
"3652","Etxebarri","arreba","arréba","ar̄éβa","2497"
"3653","Etxebarria","arreba","arréba","ar̄ɛ́βa","2497"
"3654","Eugi","arreba","arréba","ar̄éβa","2497"
"3655","Ezkio-Itsaso","arreba","arrébá","ar̄ɛ́βá","2497"
"3656","Ezkurra","arreba","árrebá","ár̄eβá","2497"
"3657","Ezterenzubi","arreba","arreba","ar̄eβa","2497"
"3658","Gaintza","arreba","arrebá","ar̄ɛβá","2497"
"3659","Gamarte","arreba","arrebá","ar̄eβá","2497"
"3660","Gamiz-Fika","arraba","arrabá","ar̄aβá","2497"
"3661","Garrüze","arreba","arréba","ar̄éβa","2497"
"3662","Getaria","arreba","arrébá","ar̄ɛ́βá","2497"
"3663","Getxo","arraba","arrabá","ar̄aβá","2497"
"3664","Gizaburuaga","arreba","arréba","ar̄éβa","2497"
"3665","Goizueta","arreba","arrébá","ar̄ɛ́βá","2497"
"3666","Hazparne","arreba","arréba","ar̄éβa","2497"
"3667","Hendaia","arreba","arréba","aRéβa","2497"
"3668","Hernani","arreba","arrébá","ar̄éβá","2497"
"3669","Hondarribia","arreba","arréba","ar̄éβa","2497"
"3670","Ibarruri (Muxika)","arreba","arréba","ar̄éβa","2497"
"3671","Igoa","arreba","árrebá","ár̄ɛβá","2497"
"3672","Ikaztegieta","arreba","arreba","ar̄eβa","2497"
"3673","Irisarri","arreba","arréba","ar̄éβa","2497"
"3674","Itsasu","arreba","arréba","ar̄éβa","2497"
"3675","Izturitze","arreba","arréba","ar̄éβa","2497"
"3676","Jaurrieta","arreba","arréba","ar̄éβa","2497"
"3677","Jutsi","arreba","arréba","ar̄éβa","2497"
"3678","Kortezubi","arreba","arréba","ar̄éβa","2497"
"3679","Landibarre","arreba","arrebá","ar̄eβá","2497"
"3680","Larrabetzu","arreba","arréba","ar̄éβa","2497"
"3681","Larraine","arreba","arréba","ar̄éβa","2497"
"3682","Larzabale","arreba","arreba","ar̄eβa","2497"
"3683","Lasarte-Oria","arreba","arrébá","ar̄éβá","2497"
"3684","Laukiz","arraba","arrába","ar̄áβa","2497"
"3685","Legazpi","arreba","arreba","ar̄eβa","2497"
"3686","Leintz Gatzaga","arreba","arréba","ar̄éβa","2497"
"3687","Leioa","arreba","arréba","ar̄éβa","2497"
"3688","Leitza","arreba","arrebá","ar̄ɛβá","2497"
"3689","Lekaroz","arreba","arréba","ar̄éβa","2497"
"3690","Lekeitio","arreba","árreba","ár̄eβa","2497"
"3691","Lemoa","arraba","arrába","ar̄áβa","2497"
"3692","Lemoiz","arraba","arrabá","ar̄aβá","2497"
"3693","Luzaide / Valcarlos","arreba","arréba","ar̄éβa","2497"
"3694","Makea","arreba","arréba","ar̄éβa","2497"
"3695","Mañaria","arreba","arréba","ar̄éβa","2497"
"3696","Mendaro","arreba","arréba","ar̄ɛ́βa","2497"
"3697","Mendata","arreba","arréba","ar̄éβa","2497"
"3698","Mezkiritz","arreba","arréba","ar̄éβa","2497"
"3699","Mugerre","arreba","arreba","ar̄eβa","2497"
"3700","Mungia","arreba","arréba","ar̄éβa","2497"
"3701","Oderitz","arreba","árrebá","ár̄ɛβá","2497"
"3702","Oiartzun","arreba","arrébá","ar̄ɛ́βá","2497"
"3703","Oñati","arreba","arréba","ar̄éβa","2497"
"3704","Ondarroa","arreba","arréba","ar̄éβa","2497"
"3705","Orexa","arreba","arréba","ar̄ɛ́βa","2497"
"3706","Orio","arreba","arrébá","ar̄ɛ́βá","2497"
"3707","Orozko","arraba","arrába","ar̄áβa","2497"
"3708","Otxandio","arreba","árreba","ár̄eβa","2497"
"3709","Pagola","arreba","arréba","ar̄éβa","2497"
"3710","Pasaia","arreba","árrébá","ár̄éβá","2497"
"3711","Santa Grazi","arreba","arréba","ar̄éβa","2497"
"3712","Sara","arreba","arréba","ar̄éβa","2497"
"3713","Senpere","arreba","arréba","ar̄éβa","2497"
"3714","Sohüta","arreba","arréba","ar̄éβa","2497"
"3715","Sondika","arreba","arréba","ar̄éβa","2497"
"3716","Suarbe","arreba","arréba","ar̄ɛ́βa","2497"
"3717","Sunbilla","arreba","arréba","ar̄éβa","2497"
"3718","Tolosa","arreba","arrébá","ar̄ɛ́βá","2497"
"3719","Uharte Garazi","arreba","árreba","ár̄eβa","2497"
"3720","Urdiain","arreba","arréba","ar̄éβa","2497"
"3721","Urdiñarbe","arreba","arréba","ar̄éβa","2497"
"3722","Urketa","arreba","arréba","ar̄éβa","2497"
"3723","Urretxu","arreba","arréba","ar̄ɛ́βa","2497"
"3724","Ürrüstoi","arreba","arréba","ar̄éβa","2497"
"3725","Uztaritze","arreba","árreba","ár̄eβa","2497"
"3726","Zaratamo","arreba","arréba","ar̄éβa","2497"
"3727","Zeanuri","arraba","árraba","ár̄aβa","2497"
"3728","Zeberio","arraba","arrába","ar̄áβa","2497"
"3729","Zegama","arreba","arrebá","ar̄ɛβá","2497"
"3730","Zilbeti","arreba","arréba","ar̄éβa","2497"
"3731","Zollo (Arrankudiaga)","arreba","árreba","ár̄eβa","2497"
"3732","Zornotza","arraba","arrába","ar̄áβa","2497"
"3733","Zugarramurdi","arreba","arréba","ar̄éβa","2497"
"3734","Abaurregaina  / Abaurrea Alta","anea","anéa","anéa","2498"
"3735","Ahetze","anai","anái","anái̯","2498"
"3736","Aia","anai","anái","anái̯","2498"
"3737","Aldude","anaia","anáia","anái̯a","2498"
"3738","Alkotz","anaye","anáye","anáǰe","2498"
"3739","Altzai","anaie","anáie","anáje","2498"
"3740","Altzürükü","anaie","anáie","anáje","2498"
"3741","Amezketa","anai","anái","anái̯","2498"
"3742","Andoain","anai","anái","anái̯","2498"
"3743","Aniz","anai","ánai","ánai̯","2498"
"3744","Aramaio","anai","ánai","ánai̯","2498"
"3745","Aramaio","neba","néba","néβa","2498"
"3746","Araotz (Oñati)","anae","anáe","anáe","2498"
"3747","Arbizu","anei","anéi","anéi̯","2498"
"3748","Arbizu","anedda","áneddá","áneddá","2498"
"3749","Arbizu","aneya","áneyá","áneǰá","2498"
"3750","Arboti","anaia","anáia","anája","2498"
"3751","Armendaritze","anaia","anáia","anái̯a","2498"
"3752","Arnegi","anaia","anáia","anái̯a","2498"
"3753","Arrangoitze","anaia","anaiá","anai̯á","2498"
"3754","Arrasate","anai","ánai","ánai̯","2498"
"3755","Arrazola (Atxondo)","neba","néba","néβa","2498"
"3756","Arrieta","neba","nebá","neβá","2498"
"3757","Arroa (Zestoa)","anai","anái","anái̯","2498"
"3758","Arrueta","aneia","anéia","anéja","2498"
"3759","Asteasu","anai","anái","anái̯","2498"
"3760","Ataun","anai","anái","anái̯","2498"
"3761","Azkaine","anaia","anáia","anái̯a","2498"
"3762","Azkoitia","anai","anái","anái̯","2498"
"3763","Azpeitia","anai","anái","anái̯","2498"
"3764","Baigorri","anai","anai","anai̯","2498"
"3765","Bakio","neba","néba","néβa","2498"
"3766","Bardoze","anea","ánea","ánea","2498"
"3767","Barkoxe","anaie","anáie","anáje","2498"
"3768","Bastida","anea","anea","anea","2498"
"3769","Beasain","anai","anái","anái̯","2498"
"3770","Behorlegi","anaia","anaiá","anai̯á","2498"
"3771","Beizama","anai","anái","anái̯","2498"
"3772","Bergara","anae","anáe","anáe","2498"
"3773","Bermeo","neba","nebá","neβá","2498"
"3774","Berriz","neba","néba","néβa","2498"
"3775","Beruete","anai","anái","anái̯","2498"
"3776","Beskoitze","aneia","anéia","anéi̯a","2498"
"3777","Bidarrai","aneia","anéia","anéi̯a","2498"
"3778","Bolibar","neba","néba","néβa","2498"
"3779","Busturia","neba","nebá","neβá","2498"
"3780","Deba","anai","anái","anái̯","2498"
"3781","Dima","neba","néba","néβa","2498"
"3782","Domintxaine","anaia","anáia","anája","2498"
"3783","Donamaria","anai","anái","anái̯","2498"
"3784","Donibane Lohizune","anaia","anaiá","anai̯á","2498"
"3785","Donostia","anai","anái","anái̯","2498"
"3786","Dorrao / Torrano","anei","anéi","anéi̯","2498"
"3787","Eibar","anai","ánai","ánai̯","2498"
"3788","Elantxobe","neba","néba","néβa","2498"
"3789","Elduain","anai","anái","anái̯","2498"
"3790","Elgoibar","anai","anái","anái̯","2498"
"3791","Elorrio","neba","néba","néβa","2498"
"3792","Erratzu","anaie","ánaie","ánai̯e","2498"
"3793","Errezil","anai","anái","anái̯","2498"
"3794","Errigoiti","neba","nebá","neβá","2498"
"3795","Eskiula","anaie","anáie","anáje","2498"
"3796","Etxalar","anai","anái","anái̯","2498"
"3797","Etxaleku","anaye","anayé","anaǰé","2498"
"3798","Etxaleku","anai","anái","anái̯","2498"
"3799","Etxarri (Larraun)","anai","anái","anái̯","2498"
"3800","Etxebarri","neba","néba","néβa","2498"
"3801","Etxebarria","neba","néba","néβa","2498"
"3802","Eugi","anaya","anáya","anáǰa","2498"
"3803","Ezkio-Itsaso","anai","anái","anái̯","2498"
"3804","Ezkurra","anai","anái","anái̯","2498"
"3805","Ezterenzubi","anaia","anáia","anája","2498"
"3806","Gaintza","anae","anaé","anaé","2498"
"3807","Gamarte","anaia","anaiá","anai̯á","2498"
"3808","Gamiz-Fika","neba","nebá","neβá","2498"
"3809","Getaria","anai","anái","anái̯","2498"
"3810","Getxo","neba","néba","néβa","2498"
"3811","Gizaburuaga","neba","néba","néβa","2498"
"3812","Goizueta","anai","anái","anái̯","2498"
"3813","Hazparne","anea","anéa","anéa","2498"
"3814","Hendaia","anai","anáiy","anái̯ǰ","2498"
"3815","Hernani","anai","anaí","anaí","2498"
"3816","Hondarribia","anai","anái","anái̯","2498"
"3817","Ibarruri (Muxika)","neba","néba","néβa","2498"
"3818","Igoa","anai","anái","anái̯","2498"
"3819","Ikaztegieta","anai","anái","anái̯","2498"
"3820","Irisarri","anei","ánei","ánɛi̯","2498"
"3821","Itsasu","anaia","anáia","anái̯a","2498"
"3822","Izturitze","anea","anéa","anéa","2498"
"3823","Jaurrieta","anae","anáe","anáe","2498"
"3824","Jutsi","aneia","aneia","aneja","2498"
"3825","Kortezubi","neba","néba","néβa","2498"
"3826","Landibarre","aneia","aneiá","anei̯á","2498"
"3827","Larrabetzu","neba","néba","néβa","2498"
"3828","Larraine","anaie","anáie","anáje","2498"
"3829","Larzabale","anaia","anáia","anája","2498"
"3830","Lasarte-Oria","anai","anái","anái̯","2498"
"3831","Laukiz","neba","néba","néβa","2498"
"3832","Legazpi","anai","anai","anai̯","2498"
"3833","Leintz Gatzaga","anai","ánai","ánai̯","2498"
"3834","Leintz Gatzaga","neba","néba","néβa","2498"
"3835","Leioa","neba","nebá","neβá","2498"
"3836","Leitza","anai","anái","anái̯","2498"
"3837","Lekaroz","anai","anai","anai̯","2498"
"3838","Lekeitio","neba","néba","néβa","2498"
"3839","Lemoa","neba","néba","néβa","2498"
"3840","Lemoiz","neba","nebá","neβá","2498"
"3841","Luzaide / Valcarlos","anaia","anáia","anái̯a","2498"
"3842","Makea","anaia","ánaiá","ánai̯á","2498"
"3843","Mañaria","neba","néba","néβa","2498"
"3844","Mendaro","anaixa","anáixá","anái̯ʃá","2498"
"3845","Mendaro","anai","anái","anái̯","2498"
"3846","Mendata","neba","néba","néβa","2498"
"3847","Mezkiritz","anaya","anáya","anáǰa","2498"
"3848","Montori","anaie","anáie","anáje","2498"
"3849","Mugerre","ania","anía","anía","2498"
"3850","Mungia","neba","néba","néβa","2498"
"3851","Oderitz","anai","anái","anái̯","2498"
"3852","Oiartzun","anai","anái","anái̯","2498"
"3853","Oñati","anae","anáe","anáe","2498"
"3854","Ondarroa","anaixa","anáixa","anái̯ʃa","2498"
"3855","Ondarroa","neba","néba","néβa","2498"
"3856","Orexa","anai","anái","anái̯","2498"
"3857","Orio","anai","anái","anái̯","2498"
"3858","Orozko","neba","néba","néβa","2498"
"3859","Otxandio","neba","néba","néβa","2498"
"3860","Pagola","anai","anái","anái̯","2498"
"3861","Pasaia","anai","ánái","ánái̯","2498"
"3862","Santa Grazi","anae","anae","anae","2498"
"3863","Sara","anaia","anáia","anái̯a","2498"
"3864","Senpere","anai","anaí","anaí","2498"
"3865","Sohüta","aneia","anéia","anéja","2498"
"3866","Sohüta","anaie","anáie","anáje","2498"
"3867","Sondika","neba","néba","néβa","2498"
"3868","Suarbe","anai","ánai","ánai̯","2498"
"3869","Sunbilla","anaya","anáya","anáǰa","2498"
"3870","Tolosa","anai","anái","anái̯","2498"
"3871","Uharte Garazi","anai","anái","anái̯","2498"
"3872","Urdiain","anaiya","ánaiyá","ánai̯ǰá","2498"
"3873","Urdiñarbe","anaie","anéie","anéje","2498"
"3874","Urketa","anaia","anáia","anája","2498"
"3875","Urketa","aneia","aneiá","anejá","2498"
"3876","Urretxu","anai","anái","anái̯","2498"
"3877","Ürrüstoi","anaie","anaie","anaje","2498"
"3878","Uztaritze","anaia","anáia","anái̯a","2498"
"3879","Zaratamo","neba","néba","néβa","2498"
"3880","Zeanuri","neba","néba","néβa","2498"
"3881","Zeberio","neba","néba","néβa","2498"
"3882","Zegama","anai","anái","anái̯","2498"
"3883","Zilbeti","anai","anái","anái̯","2498"
"3884","Zollo (Arrankudiaga)","neba","néba","néβa","2498"
"3885","Zornotza","neba","néba","néβa","2498"
"3886","Zugarramurdi","anai","anái","anái̯","2498"
"3887","Abaurregaina  / Abaurrea Alta","aizpa","áizpa","ái̯spa","2499"
"3888","Ahetze","aizpa","áizpa","ái̯spa","2499"
"3889","Aia","aizpa","áizpa","ái̯spa","2499"
"3890","Aldude","aizpa","aizpá","ai̯spá","2499"
"3891","Alkotz","aizpe","áizpe","ái̯spe","2499"
"3892","Altzai","ahizpa","ahízpa","ahíspa","2499"
"3893","Altzürükü","ahizpa","ahízpa","ahíspa","2499"
"3894","Amezketa","aizpe","aizpé","ai̯spé","2499"
"3895","Andoain","aizpa","áizpá","ái̯spá","2499"
"3896","Aniz","aizpe","áizpe","ái̯spe","2499"
"3897","Aramaio","aista","áista","ái̯śta","2499"
"3898","Araotz (Oñati)","aispa","áispa","ái̯śpa","2499"
"3899","Arbizu","aizpa","áizpa","ái̯spa","2499"
